comp_id,event,name,sex,division,bw,dots,team,s,b,d,total
IPLCN_011,Full Power,曹宁嘉,M,J15-19,72.25,384.12,,192.5,95.0,235.0,522.5
IPLCN_011,Full Power,丁力,M,J20-23,88.4,378.47,,210.0,130.0,240.0,580.0
IPLCN_011,Full Power,何宇辰,M,Open,72.3,378.43,,175.0,115.0,225.0,515.0
IPLCN_011,Full Power,吴江莲,F,Open,70.9,376.53,,140.0,60.0,175.0,375.0
IPLCN_011,Full Power,赵进,M,J15-19,87.85,373.15,,225.0,120.0,225.0,570.0
IPLCN_011,Full Power,李恩,M,Open,65.8,373.01,,165.0,105.0,205.0,475.0
IPLCN_011,Full Power,汪杰,M,Open,80.55,367.43,,182.5,120.0,232.5,535.0
IPLCN_011,Full Power,陈宝华,M,J20-23,95.0,366.9,,210.0,147.5,225.0,582.5
IPLCN_011,Full Power,马福田,M,Open,108.95,364.08,,222.5,150.0,240.0,612.5
IPLCN_011,Full Power,童永奔,M,Open,65.65,363.82,,167.5,105.0,190.0,462.5
IPLCN_011,Full Power,吴艾,M,Open,82.75,363.48,,195.0,137.5,205.0,537.5
IPLCN_011,Full Power,陆伟,M,M40-44,87.8,360.17,,210.0,122.5,217.5,550.0
IPLCN_011,Full Power,王晓凯,M,Open,59.25,358.2,,145.0,105.0,170.0,420.0
IPLCN_011,Full Power,方俊,M,M40-44,80.45,357.38,,215.0,115.0,190.0,520.0
IPLCN_011,Full Power,栾敏敏,F,M40-44,70.3,353.09,,142.5,55.0,152.5,350.0
IPLCN_011,Full Power,万绍希,M,J15-19,68.55,343.02,,140.0,110.0,200.0,450.0
IPLCN_011,Full Power,刘耀东,M,J20-23,104.25,338.72,,215.0,130.0,215.0,560.0
IPLCN_011,Full Power,姜欣怡,F,Open,75.35,332.77,,145.0,57.5,140.0,342.5
IPLCN_011,Full Power,江浩伦,M,Open,74.3,332.01,,195.0,80.0,185.0,460.0
IPLCN_011,Full Power,赵承希,M,Open,107.55,330.06,,212.5,125.0,215.0,552.5
IPLCN_011,Full Power,朱晗玉,F,Open,80.05,324.98,,140.0,55.0,150.0,345.0
IPLCN_011,Full Power,王志刚,M,M50-54,69.0,314.88,,155.0,92.5,167.5,415.0
IPLCN_011,Full Power,阎宏狄,M,J20-23,77.65,314.15,,165.0,102.5,180.0,447.5
