comp_id,event,name,sex,division,bw,gpa,weight_class,dots,s,b,d,total
CPA_037,Full Power,杜一毅,Unknown,Unknown,88.1,866.54,90,,250.0,130.0,300.0,680.0
CPA_037,Full Power,梁海锋,Unknown,Unknown,82.3,853.68,82.5,,235.0,137.5,275.0,647.5
CPA_037,Full Power,王龙伟,Unknown,Unknown,89.6,847.32,90,,255.0,170.0,245.0,670.0
CPA_037,Full Power,陈梓朗,Unknown,Unknown,97.55,827.58,100,,262.5,150.0,267.5,680.0
CPA_037,Full Power,方庆升,Unknown,Unknown,74.4,820.95,75,,195.0,145.0,245.0,585.0
CPA_037,Full Power,张慧馨,Unknown,Unknown,74.35,813.47,75,,142.5,85.0,185.0,412.5
CPA_037,Full Power,游苏杭,Unknown,Unknown,81.95,810.66,82.5,,230.0,130.0,252.5,612.5
CPA_037,Full Power,冯少君,Unknown,Unknown,70.4,808.77,75,,155.0,75.0,170.0,400.0
CPA_037,Full Power,Egor Niko,Unknown,Unknown,89.85,808.37,90,,230.0,140.0,270.0,640.0
CPA_037,Full Power,金俊伍,Unknown,Unknown,100.1,791.17,110,,245.0,160.0,252.5,657.5
CPA_037,Full Power,苏东浩,Unknown,Unknown,74.9,789.19,75,,210.0,130.0,225.0,565.0
CPA_037,Full Power,谢雅雯,Unknown,Unknown,51.4,769.24,52,,122.5,47.5,142.5,312.5
CPA_037,Full Power,巫丹虹,Unknown,Unknown,59.3,762.04,60,,125.0,67.5,152.5,345.0
CPA_037,Full Power,王子宁,Unknown,Unknown,108.25,754.7,110,,265.0,145.0,240.0,650.0
CPA_037,Full Power,张祖翰,Unknown,Unknown,83.3,753.52,90,,210.0,145.0,220.0,575.0
CPA_037,Full Power,黄爱天,Unknown,Unknown,97.05,741.03,100,,240.0,147.5,220.0,607.5
CPA_037,Full Power,王嘉濠,Unknown,Unknown,63.3,728.96,67.5,,170.0,112.5,180.0,462.5
CPA_037,Full Power,刘家明,Unknown,Unknown,69.6,726.39,75,,170.0,105.0,220.0,495.0
CPA_037,Full Power,袁曦,Unknown,Unknown,82.05,723.23,82.5,,240.0,92.5,215.0,547.5
CPA_037,Full Power,冉鑫,Unknown,Unknown,89.4,721.75,90,,220.0,135.0,215.0,570.0
CPA_037,Full Power,田博宇,Unknown,Unknown,82.45,711.95,82.5,,200.0,120.0,220.0,540.0
CPA_037,Full Power,张睿烨,Unknown,Unknown,77.25,691.14,82.5,,195.0,85.0,225.0,505.0
CPA_037,Full Power,庞景允,Unknown,Unknown,80.1,680.6,82.5,,170.0,112.5,225.0,507.5
CPA_037,Full Power,杜洋乐然,Unknown,Unknown,98.85,668.55,100,,195.0,127.5,230.0,552.5
CPA_037,Full Power,简聿淳,Unknown,Unknown,72.45,657.05,75,,175.0,75.0,210.0,460.0
CPA_037,Full Power,缪永耀,Unknown,Unknown,88.65,645.08,90,,187.5,85.0,235.0,507.5
CPA_037,Full Power,黄予希,Unknown,Unknown,58.65,633.68,60,,105.0,55.0,125.0,285.0
CPA_037,Full Power,郝建宇,Unknown,Unknown,80.45,622.38,82.5,,175.0,105.0,185.0,465.0
CPA_037,Full Power,陈伟涛,Unknown,Unknown,64.95,610.96,67.5,,155.0,95.0,145.0,395.0
CPA_037,Full Power,陈惠楠,Unknown,Unknown,54.9,597.2,56,,105.0,37.5,115.0,257.5
CPA_037,Full Power,吴冠恒,M,Unknown,59.85,593.46,60,,,110.0,250.0,360.0
CPA_037,Full Power,胡星亮,M,Unknown,55.9,580.5,56,,,122.5,210.0,332.5
CPA_037,Full Power,陈艺,Unknown,Unknown,59.35,563.25,60,,97.5,50.0,107.5,255.0
CPA_037,Full Power,吴冠恒,M,Unknown,59.85,412.12,60,,,250.0,,
CPA_037,Full Power,胡星亮,M,Unknown,55.9,366.63,56,,,210.0,,
CPA_037,Full Power,赵钰明,M,Unknown,80.95,293.3,82.5,,,220.0,,
CPA_037,Full Power,简聿淳,M,Unknown,72.45,271.39,75,,,190.0,,
CPA_037,Full Power,唐长望,M,Unknown,90.05,271.22,100,,,215.0,,
CPA_037,Full Power,刘雨衡,M,Unknown,77.45,260.03,82.5,,,190.0,,
CPA_037,Full Power,王龙伟,M,Unknown,89.6,214.99,90,,,170.0,,
CPA_037,Full Power,胡星亮,M,Unknown,55.9,213.87,56,,,122.5,,
CPA_037,Full Power,吴冠恒,M,Unknown,59.85,181.34,60,,,110.0,,
CPA_037,Full Power,李盖次,M,Unknown,74.25,178.92,75,,,127.5,,
CPA_037,Full Power,徐子观,M,Unknown,108.85,150.63,110,,,130.0,,
CPA_037,Full Power,吴冠恒,Unknown,Unknown,59.85,,60,,213.0,130.0,276.0,619.0
CPA_037,Full Power,伯钟林,Unknown,Unknown,67.0,,67.5,,255.0,145.0,265.0,665.0
CPA_036,Full Power,AJ Jenkins,M,Unknown,96.8,934.24,100,,280.0,160.0,325.0,765.0
CPA_036,Full Power,刘浩,M,Unknown,74.7,889.25,75,,265.0,125.0,245.0,635.0
CPA_036,Full Power,晋良华,M,Unknown,87.3,869.91,06,,270.0,140.0,270.0,680.0
CPA_036,Full Power,赵蕊,F,Unknown,50.5,857.59,52,,142.5,55.0,152.5,350.0
CPA_036,Full Power,孙乃正,M,Unknown,82.2,855.33,82.5,,212.5,175.0,260.0,647.5
CPA_036,Full Power,李博航,M,Unknown,74.4,824.45,75,,217.5,130.0,240.0,587.5
CPA_036,Full Power,陈东,M,Unknown,82.5,789.93,82.5,,220.0,130.0,250.0,600.0
CPA_036,Full Power,吴文强,M,Unknown,80.7,758.08,82.5,,225.0,122.5,220.0,567.5
CPA_036,Full Power,杨洁,F,Unknown,44.9,738.55,48,,97.5,60.0,115.0,272.5
CPA_036,Full Power,李粮旭,M,Unknown,84.9,726.68,90,,210.0,140.0,210.0,560.0
CPA_036,Full Power,毛炳斐,M,Unknown,79.8,721.88,82.5,,195.0,127.5,215.0,537.5
CPA_036,Full Power,袁圆,F,Unknown,59.0,702.92,60,,127.5,55.0,135.0,317.5
CPA_036,Full Power,杨薇芹,F,Unknown,43.7,653.64,44,,70.0,50.0,115.0,235.0
CPA_036,Full Power,邱周妹,F,Unknown,67.5,628.38,67.5,,120.0,50.0,135.0,305.0
CPA_036,Full Power,朱天雨,M,Unknown,80.9,616.6,82.5,,155.0,107.5,200.0,462.5
CPA_036,Full Power,黄嘉城,M,Unknown,72.9,611.33,75,,165.0,97.5,167.5,430.0
CPA_036,Full Power,李佳雨,F,Unknown,55.3,610.74,56,,92.5,52.5,120.0,265.0
CPA_036,Full Power,詹晖阳,M,Unknown,74.0,513.25,75,,145.0,75.0,145.0,365.0
CPA_036,Full Power,李焕强,M,Unknown,72.5,213.81,75,,,150.0,,
CPA_036,Full Power,黄岩,M,Unknown,78.5,186.41,82.5,,,137.5,,
CPA_036,Full Power,卢航,M,Unknown,121.25,181.91,125,,,165.0,,
CPA_036,Full Power,陈红阳,M,Unknown,66.7,166.7,67.5,,,110.0,,
CPA_035,Full Power,黄尹杰,M,Unknown,69.9,,74,484.98,240.0,142.5,262.5,645.0
CPA_035,Full Power,伏文静,F,Unknown,61.45,,63,480.53,165.0,97.5,177.5,440.0
CPA_035,Full Power,王昱升,M,Unknown,73.85,,74,474.62,242.5,150.0,262.5,655.0
CPA_035,Full Power,李中举,M,Unknown,82.65,,83,470.3,265.0,160.0,270.0,695.0
CPA_035,Full Power,林东星,M,Unknown,101.5,,105,463.29,292.5,165.0,300.0,757.5
CPA_035,Full Power,黄鼎一,M,Unknown,103.4,,105,462.75,292.5,195.0,275.0,762.5
CPA_035,Full Power,顾雯雯,F,Unknown,69.0,,69,425.64,157.5,85.0,175.0,417.5
CPA_035,Full Power,吕伟,M,Unknown,69.7,,74,403.07,185.0,115.0,235.0,535.0
CPA_035,Full Power,孙欣妤,F,Unknown,51.55,,52,389.35,125.0,60.0,132.5,317.5
CPA_035,Full Power,高健,M,Unknown,107.0,,120,386.09,245.0,165.0,235.0,645.0
CPA_035,Full Power,花海,M,Unknown,101.0,,105,383.06,225.0,160.0,240.0,625.0
CPA_035,Full Power,徐搏亚,F,Unknown,66.7,,69,379.44,135.0,70.0,160.0,365.0
CPA_035,Full Power,闻晨红,F,Unknown,48.8,,52,372.95,120.0,42.5,130.0,292.5
CPA_035,Full Power,沈严,M,Unknown,91.35,,93,367.44,230.0,132.5,210.0,572.5
